"sno","sna","tot","sbi","sarea","mday","lat","lng","ar","sareaen","snaen","aren","bemp","act"
"1084","和平公園","36","10","三重區","20171124175929","25.070884","121.485712","忠孝路二段/忠孝路二段32巷","Sanchong Dist.","Helping Park","Zhongxiao Rd./Ln. 32, Sec. 2, Zhongxiao Rd.","26","1"
"1085","三重綜合體育館","52","27","三重區","20171124175933","25.061446","121.491926","新北大道一段1號前人行道","Sanchong Dist.","Sanchong Sports Center","No.1, Sec. 1, New Taipei Blvd.","25","1"
"1086","信義公園","36","21","三重區","20171124175915","25.064804","121.498749","信義西街18號對面人行道","Sanchong Dist.","Xinyi Park","No.18, Xinyi W. St. (opposite)","15","1"
"1087","捷運小碧潭站(1號出口)","44","18","新店區","20171124175915","24.97152","121.53029","捷運小碧潭站1號出口旁西側人行道(環河路側)","Xindian Dist.","MRT Xiaobitan Sta. (Exit.1)","MRT Xiaobitan Sta. (Exit.1) (Huanhe Rd.)","26","1"
"1088","秀得里(成功路二段)","28","14","永和區","20171124175941","25.000705","121.526729","成功路二段28號至34號","Yonghe Dist.","Xiu de Village (Chenggong Rd. Sec. 2)","No.28 to No.34, Sec. 2, Chenggong Rd.","14","1"
"1089","永平公園","44","32","蘆洲區","20171124175947","25.089987","121.459424","永樂街38巷42弄公園人行道(永平市場南側)","Luzhou Dist.","Yongping Park","Aly. 42, Ln. 38, Yongle St.","12","1"
"1090","永康公園","30","13","蘆洲區","20171124175920","25.084764","121.458733","長安街220巷6號對面人行道","Luzhou Dist.","Yongkang Park","No.6, Ln. 220, Chang’an St. (opposite)","17","1"
"1091","頭前運動公園","50","7","新莊區","20171124175940","25.052180","121.462124","頭成街165號對面人行道","Xinzhuang Dist.","Touqian Sports Park","No.165, Toucheng St. (opposite)","42","1"
"1092","頭前國中","42","1","新莊區","20171124175939","25.054464","121.459318","中原路3至9號對面人行道","Xinzhuang Dist.","Touqian Junior High School","No.3 to No.9 , Zhongyuan Rd. (opposite)","41","1"
"1093","建國民權路口","46","33","新店區","20171124175924","24.983184","121.537462","建國路259號前人行道","Xindian Dist.","Jianguo Minquan Intersection","No.259, Jianguo Rd.","12","1"
"1094","聯邦公園","48","0","三重區","20171124175924","25.064447","121.483710","三民街/中華路","Sanchong Dist.","Lian Bang Park","Sanmin St./Zhonghua Rd.","48","1"
"1095","捷運蘆洲站","52","45","蘆洲區","20171124175932","25.091637","121.464031","三民路/中正路口","Luzhou Dist.","MRT Luzhou Sta.","Sanmin Rd./Zhongzheng Rd.","7","1"
"1096","集成成功路口","32","25","三重區","20171124175924","25.051542","121.488208","集成路2號至8號前人行道","Sanchong Dist.","Ji Cheng Cheng Gong Intersection","No.2 to No.8, Jicheng Rd.","7","1"
"1097","板橋國民運動中心","44","10","板橋區","20171124175937","25.022235","121.458152","英士路/智樂路","Banqiao Dist.","Banqiao Civil Sports Center","Yingshi Rd./Jhihle Rd.","34","1"
"1098","永安公園","38","12","板橋區","20171124175936","25.024478","121.477572","雙十路一段25號前人行道","Banqiao Dist.","Yongan Park","No.25, Sec. 1, Shuangshi Rd.","26","1"
"1099","捷運江子翠站(3號出口)","44","14","板橋區","20171124175921","25.029729","121.472359","文化路二段/雙十路二段","Banqiao Dist.","MRT Jiangzicui Sta.(Exit 3)","Sec. 2, Wenhua Rd./Sec. 2, Shuangshi Rd.","29","1"
"1100","音樂公園","48","24","板橋區","20171124175940","25.028631","121.480460","大同街97號對面公園人行道","Banqiao Dist.","Yinyue Park","No.97, Datong St.","21","1"
"1101","捷運七張站(1號出口)","42","34","新店區","20171124175931","24.974996","121.542767","北新路二段/北新路二段121巷","Xindian Dist.","MRT Qizhang Sta. (Exit 1)","Sec. 2, Beixin Rd./Ln. 121, Sec. 2, Beixin Rd.","6","1"
"1102","北新國小","44","2","新店區","20171124175921","24.974233","121.544428","寶橋路8號前人行道","Xindian Dist.","BeiXin Elementary School","No.8, Baoqiao Rd.","40","1"
"1103","捷運新埔站(2號出口)","40","29","板橋區","20171124175917","25.022095","121.467598","文化路一段318號旁廣場","Banqiao Dist.","MRT Xinpu Sta.(Exit.2)","No.318, Sec. 1, Wenhua Rd.","10","1"
"1104","聯合醫院板橋院區","34","4","板橋區","20171124175924","25.023832","121.457773","龍泉街131號旁人行道(立體停車場前)","Banqiao Dist.","New Taipei City Hospital Banqiao Branch","No.131, Longquan St.","30","1"
"1105","捷運板橋站(3號出口)","68","37","板橋區","20171124175941","25.014797","121.462051","文化路一段117號對面人行道","Banqiao Dist.","MRT Banqiao Sta.(Exit.3)","No.117, Sec. 1, Wenhua Rd. (opposite)","29","1"
"1106","民生公園","42","21","板橋區","20171124175917","25.013087","121.475894","民生路一段/民生路一段30巷","Banqiao Dist.","Minsheng Park","Sec. 1, Minsheng Rd./Ln. 30, Sec. 1, Minsheng Rd.","16","1"
"1107","新北市政府(新府路)","40","4","板橋區","20171124175931","25.012374","121.464224","新府路1號對面人行道","Banqiao Dist.","New Taipei City Hal ( Zinfu Rd.)","No.1, Xinfu Rd. (opposite)","35","1"
"1108","捷運板橋站(1號出口)","90","17","板橋區","20171124175916","25.013174","121.461900","縣民大道二段3號(秀泰影城門口)","Banqiao Dist.","MRT Banqiao Sta.(Exit.1)","No.3, Sec. 2, Xianmin Blvd.","72","1"
"1109","板橋地政事務所","52","34","板橋區","20171124175917","25.007983","121.463387","實踐路5號對面","Banqiao Dist.","Banqiao Land Office","No.5, Shijian Rd. (opposite)","17","1"
"1110","板橋戶政事務所","44","21","板橋區","20171124175932","25.012839","121.456308","中正路6號前人行道","Banqiao Dist.","Banqiao District Household Registration Office","No.6, Zhongzheng Rd.","23","1"
"1111","板橋和平公園","40","29","板橋區","20171124175938","24.997679","121.464326","重慶路355號前廣場","Banqiao Dist.","Banqiao Heping Park","No.355, Chongqing Rd.","11","1"
"1112","碧華公園","28","0","三重區","20171002074541","25.083741","121.487491","溪尾街303號(對面公園)","Sanchong Dist.","Bihua Park","No.303, Xiwei St. (opposite)","0","0"
"1113","五福里(五華街)","52","12","三重區","20171124175937","25.081725","121.493902","五華街64號對面人行道(碧華國中旁)","Sanchong Dist.","Wufu Village (Wuhua St.)","No.64, Wuhua St. (opposite)","40","1"
"1114","同安公園","30","13","三重區","20171124175916","25.057320","121.499067","正義南路/同安東街(正義南路側公園廣場)","Sanchong Dist.","Tong An Park","Zhengyi S. Rd./Tong’an E. St.","16","1"
"1115","中華里(中華路二段)","38","14","新莊區","20171124175924","25.045951","121.453766","中華路2段31號對面","Xinzhuang Dist.","Zhonghua Village (Zhonghua Rd. Sec. 2 )","No.31, Sec. 2, Zhonghua Rd. (opposite)","24","1"
"1116","中華自治街口","36","16","新莊區","20171124175932","25.047855","121.453202","中華路2段/自治街口人行道(中港大排東側)","Xinzhuang Dist.","Zhonghua & Zizhi Intersection","Sec. 2, Zhonghua Rd/Zizhi St.","18","1"
"1117","捷運府中站(3號出口)","42","24","板橋區","20171124175925","25.008999","121.458776","府中路31號至53號對面","Banqiao Dist.","MRT Fuzhong Sta.(Exit.3)","No.31 to No.53, Fuzhong Rd. (opposite)","17","1"
"1118","捷運亞東醫院站(2號出口)","52","26","板橋區","20171124175925","24.997830","121.452315","南雅南路二段122-23號前人行道","Banqiao Dist.","MRT Far Eastern Hospital Sta.(Exit.2)","No.122-23, Sec. 2, Nanya S. Rd.","26","1"
"1119","新泰公園","42","20","新莊區","20171124175936","25.037200","121.444946","建中街116巷/建中街116巷3弄","Xinzhuang Dist.","Xintai Park","Ln. 116, Jianzhong St./Aly. 3, Ln. 116, Jianzhong St.","22","1"
"1120","上林里(環河東路一段)","38","16","永和區","20171124175927","25.014999","121.520951","環河東路一段/竹林路75巷25弄","Yonghe Dist.","Shanglin Village (Huanhe E. Rd. Sec. 1 )","Sec. 1, Huanhe E. Rd./Aly. 25, Ln. 75, Zhulin Rd.","20","1"
"1121","進安公園","34","15","三重區","20171124175930","25.086031","121.493774","仁義街258號至290號","Sanchong Dist.","Jinan Park","No.258 to No.290, Renyi St.","18","1"
"1122","自強溪尾街口","40","34","三重區","20171124175943","25.078220","121.490157","自強路4段/溪尾街","Sanchong Dist.","Ziqiang & Xiwei Intersection","Sec. 4, Ziqiang Rd./Xiwei St.","5","1"
"1123","捷運三重國小站","54","18","三重區","20171124175937","25.070418","121.497126","仁愛街/三和路3段11巷","Sanchong Dist.","MRT Sanchong Elementary School Sta.","Ren’ai St./Ln. 11, Sec. 3, Sanhe Rd.","36","1"
"1124","五堵火車站","50","25","汐止區","20171124175924","25.077493","121.666869","鄉長路一段人行道側","Xizhi Dist.","Wudu Railway Station","Sec. 1, Xiangzhang Rd.","23","1"
"1125","捷運南勢角站1號出口","70","45","中和區","20171124175931","24.990804","121.506978","捷運路131號至141號對面","Zhonghe Dist.","MRT Nanshijiao Sta.(Exit 1)","No.131 to No.141, Jieyun Rd.","25","1"
"1126","柳堤公園","42","19","蘆洲區","20171124175937","25.087989","121.462192","長樂路125號對面公園通道","Luzhou Dist.","Liuti Park","No.125, Changle Rd. (opposite)","22","1"
"1127","新北市立圖書館總館","36","24","板橋區","20171124175936","25.001583","121.455524","貴興路119巷","Banqiao Dist.","New Taipei City Library","Ln. 119, Guixing Rd.","12","1"
"1128","永福國小","36","17","三重區","20171124175943","25.077714","121.480315","永福街/下竹圍街","Sanchong Dist.","Yong Fu Elementary School","Yongfu St./Xiazhuwei St.","19","1"
